Actor,Title,Dummy,Avg Rating,Budget (2024$)
Sean Connery,Dr. No,dummy,7.3,9800000
Sean Connery,From Russia with Love,dummy,7.4,19300000
Sean Connery,Goldfinger,dummy,7.7,28600000
Sean Connery,Thunderball,dummy,7,84600000
Sean Connery,You Only Live Twice,dummy,6.9,84400000
George Lazenby,On Her Majesty's Secret Service,dummy,6.7,56700000
Sean Connery,Diamonds Are Forever,dummy,6.6,52800000
Roger Moore,Live and Let Die,dummy,6.8,46800000
Roger Moore,The Man with the Golden Gun,dummy,6.7,42300000
Roger Moore,The Spy Who Loved Me,dummy,7.1,68600000
Roger Moore,Moonraker,dummy,6.3,139000000
Roger Moore,For Your Eyes Only,dummy,6.8,91500000
Roger Moore,Octopussy,dummy,6.6,81900000
Roger Moore,A View to a Kill,dummy,6.3,82800000
Timothy Dalton,The Living Daylights,dummy,6.7,104000000
Timothy Dalton,Licence to Kill,dummy,6.6,76800000
Pierce Brosnan,GoldenEye,dummy,7.2,117000000
Pierce Brosnan,Tomorrow Never Dies,dummy,6.5,204000000
Pierce Brosnan,The World Is Not Enough,dummy,6.4,240000000
Pierce Brosnan,Die Another Day,dummy,6.1,234000000
Daniel Craig,Casino Royale,dummy,8,221000000
Daniel Craig,Quantum of Solace,dummy,6.6,276000000
Daniel Craig,Skyfall,dummy,7.8,258000000
Daniel Craig,Spectre,dummy,6.8,306000000
Daniel Craig,No Time to Die,dummy,7.3,270000000
